League,Season,TRUFFLE,Pos,Player,NFL,Salary,Contract,Ring,BenchCup
TRUFFLE,2020,MCM,WR,Odell Beckham,CLE,45,2,0,0
TRUFFLE,2020,MWM,QB,Tom Brady,TB,42,1,0,0
TRUFFLE,2020,MWM,RB,Aaron Jones,GB,70,2,0,0
TRUFFLE,2020,MWM,RB,Dalvin Cook,MIN,90,2,0,0
TRUFFLE,2020,MWM,WR,Brandin Cooks,HOU,18,1,0,0
TRUFFLE,2020,MWM,WR,Adam Thielen,MIN,59,3,0,0
TRUFFLE,2020,MWM,WR,Corey Davis,TEN,4,2,0,0
TRUFFLE,2020,MWM,TE,Jared Cook,NO,12,2,0,0
TRUFFLE,2020,MWM,WR,Cooper Kupp,LAR,53,3,0,0
TRUFFLE,2020,MWM,QB,Teddy Bridewater,CAR,23,2,0,0
TRUFFLE,2020,MWM,WR,Julian Edelman,NE,21,1,0,0
TRUFFLE,2020,MWM,WR,Van Jefferson,LAR,3,3,0,0
TRUFFLE,2020,MWM,TE,Hayden Hurst,ATL,13,2,0,0
TRUFFLE,2020,MWM,RB,Darrell Henderson,LAR,8,2,0,0
TRUFFLE,2020,MWM,RB,Devin Singletary,BUF,34,3,0,0
TRUFFLE,2020,MWM,RB,Alexander Mattison,MIN,15,2,0,0
