Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj,League
TE,VD,Kyle Pitts,ATL,@PIT,Sun  1:00pm ET,11,41.5,7,26,95%,74%,31.0,1,173.8,133.1,134.0,TRUFFLE
WR,VD,Ladd McConkey,LAC,ARI,Sun  4:25pm ET,7,46.5,19,17,96%,60%,5.0,1,149.9,176.0,135.71,TRUFFLE
RB,VD,Keaton Mitchell,LAC,ARI,Sun  4:25pm ET,7,46.5,52,30,24%,4%,1.0,1,64.4,45.4,67.2,TRUFFLE
RB,VD,Omarion Hampton,LAC,ARI,Sun  4:25pm ET,7,46.5,10,30,99%,69%,45.0,2,141.7,134.3,198.46,TRUFFLE
DST,VD,Packers,GB,@MIN,Sun  4:25pm ET,11,45.5,13,32,72%,43%,4.0,1,102.0,132.0,130.5,TRUFFLE
QB,VD,Drew Allar,PIT,ATL,Sun  1:00pm ET,9,41.5,---,18,2%,1%,3.0,3,0.0,0.0,12.48,TRUFFLE
RB,VD,Trey Benson,ARI,@LAC,Sun  4:25pm ET,14,46.5,---,8,48%,1%,5.0,1,28.4,33.7,16.4,TRUFFLE
RB,VD,Ollie Gordon,MIA,@LV,Sun  4:25pm ET,6,40.5,---,21,25%,2%,3.0,2,69.8,69.0,17.21,TRUFFLE
RB,VD,Eli Heidenreich,PIT,ATL,Sun  1:00pm ET,9,41.5,---,16,2%,1%,3.0,3,0.0,0.0,20.91,TRUFFLE
RB,VD,Kaleb Johnson,PIT,ATL,Sun  1:00pm ET,9,41.5,---,16,13%,1%,15.0,2,10.0,5.3,12.5,TRUFFLE
WR,VD,Michael Pittman,PIT,ATL,Sun  1:00pm ET,9,41.5,47,22,90%,48%,15.0,1,169.4,166.2,102.48,TRUFFLE
