Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
RB,GF,Brian Robinson,WAS,@TB,Sun  4:25pm ET,14,42,31,3,99%,27%,5,1,18.90,18.90,7.10
WR,GF,Michael Pittman,IND,HOU,Sun  1:00pm ET,14,47.5,32,10,99%,74%,40,1,4.10,4.10,7.81
WR,GF,Christian Watson,GB,@PHI,Fri  8:15pm ET,10,49.5,33,32,96%,31%,15,1,8.30,8.30,8.82
TE,GF,Jake Ferguson,DAL,@CLE,Sun  4:25pm ET,7,42,8,5,93%,64%,3,1,1.50,1.50,5.11
RB,GF,Gus Edwards,LAC,LV,Sun  4:05pm ET,5,40.5,34,24,95%,18%,36,2,3.80,3.80,8.40
WR,GF,Jaxon Smith-Njigba,SEA,DEN,Sun  4:05pm ET,10,42.5,42,15,87%,22%,25,2,3.90,3.90,7.11
QB,GF,Bryce Young,CAR,@NO,Sun  1:00pm ET,11,41.5,---,9,20%,2%,35,2,10.64,10.64,11.67
DST,GF,Packers,GB,@PHI,Fri  8:15pm ET,10,49.5,23,18,20%,8%,1,1,10.00,10.00,9.60
QB,GF,Michael Penix,ATL,PIT,Sun  1:00pm ET,12,42.5,---,14,9%,1%,3,3,0.00,0.00,0.28
RB,GF,JK Dobbins,LAC,LV,Sun  4:05pm ET,5,40.5,36,24,95%,25%,60,1,23.90,23.90,9.61
RB,GF,Ezekiel Elliott,DAL,@CLE,Sun  4:25pm ET,7,42,40,5,85%,4%,5,1,13.90,13.90,4.60
RB,GF,MarShawn Lloyd,GB,@PHI,Fri  8:15pm ET,10,49.5,---,10,61%,1%,5,3,0.00,0.00,6.60
WR,GF,Brandin Cooks,DAL,@CLE,Sun  4:25pm ET,7,42,---,4,55%,3%,1,2,12.50,12.50,5.71
WR,GF,Calvin Ridley,TEN,@CHI,Sun  1:00pm ET,5,43,30,13,98%,35%,15,2,7.00,7.00,7.21
WR,GF,Adam Thielen,CAR,@NO,Sun  1:00pm ET,11,41.5,---,9,45%,3%,1,2,6.90,6.90,4.51
WR,GF,Dontayvion Wicks,GB,@PHI,Fri  8:15pm ET,10,49.5,---,32,33%,1%,14,3,0.00,0.00,4.81
